344.924,2362.37,140.473,115,
453.094,1636.42,115,115.795,
498.378,2714.41,115,127.43,
641.436,1027.42,136.569,146.555,
726.058,3528.56,115,185.932,
743.088,1553.44,115,190.307,
691.6,1389.63,115,177.078,
708.391,1363.13,115,181.392,
394.8,2060.37,117.405,115,
458.67,2110.79,115,117.228,
373.068,2228.29,127.456,115,
715.009,813.801,156.983,133.802,
559.504,970.941,152.272,122.025,
524.622,1004.33,148.611,117.813,
731.607,1506.21,115,187.357,
751.9,1557.83,115,192.571,
748.616,1534.32,115,191.728,
520.318,1978.77,115,133.068,
742.481,1511.46,115,190.151,
370.326,3385.01,128.724,115,
744.294,1416.38,115,190.617,
734.246,1416.53,115,188.035,
730.19,1490.92,115,186.993,
726.211,809.182,155.742,135.195,
455.087,1626.29,115,116.307,
391.374,2635.63,118.989,115,
621.616,973.976,146.321,135.719,
312.842,1714.48,155.311,115,
563.492,968.874,152.301,122.662,
615.383,964.694,148.36,133.29,
515.407,2645.75,115,131.806,
578.475,2227.96,115,148.011,
464.606,2196.66,115,118.753,
679.046,1395.77,115,173.852,
474.235,2618.3,115,121.227,
333.903,2145.6,145.57,115,
493.475,2422.14,115,126.171,
705.887,2691.84,115,180.749,
378.855,2483.34,124.779,115,
732.401,1503.91,115,187.561,
632.39,994.704,142.191,140.544,
494.896,1847.28,115,126.536,
737.472,1813.92,115,188.864,
746.604,1519.24,115,191.211,
359.661,2414.79,133.657,115,
711.021,1692.72,115,182.068,
526.987,1016.48,145.997,119.538,
418.982,2816.58,115,115,
397.534,2070.33,116.141,115,
2083.34,1454.16,115,300,
720.624,1614.31,115,184.535,
702.578,1461.71,115,179.899,
375.712,3613.87,126.233,115,
604.209,948.875,152.004,129.091,
731.572,1536.19,115,187.348,
375.543,2031.05,126.311,115,
475.115,2322.44,115,121.453,
731.7,2807.89,115,187.381,
743.174,1408.28,115,190.329,
376.125,2245.94,126.042,115,
517.144,2712.25,115,132.252,
645.473,1020.51,137.341,146.613,
313.737,1648.99,154.897,115,
725.318,2334.6,115,185.741,
360.027,3464.77,133.487,115,
727.765,1671.33,115,186.37,
718.974,2975.83,115,184.111,
404.836,2600.03,115,115,
748.055,1435.88,115,191.584,
610.024,973.665,147.377,133.187,
418.622,2921.17,115,115,
743.824,1421.75,115,190.497,
730.918,2919.17,115,187.18,
741.008,1757.65,115,189.773,
534.167,849.093,178.437,104.444,
337.975,2296.01,143.687,115,
365.809,2511.8,130.813,115,
395.734,2674.32,116.973,115,
764.754,1555.75,115,195.874,
742.406,1508.97,115,190.132,
662.326,784.479,169.327,120.544,
445.271,2793.57,115,115,
356.991,1955.02,134.892,115,
739.306,2528.89,115,189.336,
674.583,1031.07,133.977,154.542,
742.867,1394.1,115,190.251,
375.702,2069.35,126.238,115,
531.379,2028.05,115,135.91,
754.823,953.706,136.8,161.431,
734.496,2546.32,115,188.1,
643.206,1979.54,115,164.643,
666.813,1141.26,119.04,166.985,
470.098,1720.28,115,120.164,
382.556,2494.8,123.068,115,
725.843,3350.22,115,185.876,
728.893,3839.78,115,186.66,
669.338,789.627,167.438,122.429,
440.579,2279.8,115,115,
496.049,1012.46,148.965,112.227,
336.373,1854.34,144.427,115,
510.837,1024.23,145.484,116.654,
736.013,816.902,153.357,138.056,
852.895,1534.83,115,218.522,
687.167,792.684,164.063,125.979,
738.479,2688.95,115,189.123,
524.365,990.982,151.325,116.446,
765.555,1541.44,115,196.08,
516.098,2705.05,115,131.984,
326.385,1692.47,149.047,115,
684.096,1296.18,115,175.15,
739.701,1903.65,115,189.437,
571.739,2183.33,115,146.28,
548.965,985.326,150.455,121.247,
718.368,1642.26,115,183.956,
752.746,1910.49,115,192.789,
748.597,1580.38,115,191.723,
732.617,1500.97,115,187.617,
325.12,2166,149.632,115,
450.444,1656.94,115,115.114,
